"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","upregulated","downregulated"
"gene:ENSG00000285238",62.5293847112513,22.8257936795462,3.34795553352823,6.81783059869118,9.24255336960843e-12,1.45860351573071e-07,1074,187
"gene:ENSG00000272779",60.3281229880517,22.7743774753821,3.34796541369565,6.8024530307924,1.02852555493475e-11,1.45860351573071e-07,1074,187
"gene:ENSG00000215472",44.7753591660275,22.3615344711034,3.3480635026077,6.67894574092957,2.40667239193674e-11,2.27534830175006e-07,1074,187
"gene:ENSG00000295420",22.8887732110167,21.4016609850876,3.34842658171073,6.39155748612932,1.64204525763917e-10,1.1643332410605e-06,1074,187
"gene:ENSG00000274810",25.6108806397339,7.50831636546681,1.74329371118979,4.30697152021641,1.65504909491985e-05,0.0230737472128034,1074,187
"gene:ENSG00000291063",519.62780678681,7.48829970184444,1.79031542138548,4.18267061345506,2.88104658586556e-05,0.0302648608573722,1074,187
"gene:ENSG00000120937",24.8125944881243,7.46275955676753,1.83305897363623,4.07120538078689,4.67704895659699e-05,0.0427919805019227,1074,187
"gene:ENSG00000300739",50.7151307109463,7.32127518526174,2.58465449561497,2.83259336893296,0.00461720796424492,0.318148471685947,1074,187
"gene:ENSG00000162757",22.4412601530515,7.31861478056691,1.29947059638558,5.63199721557634,1.78134560220765e-08,0.000101048610630831,1074,187
"gene:ENSG00000289685",20.208788186862,7.16617282371054,3.16672870407588,2.26295761126837,0.0236383024326171,0.470814230020457,1074,187
"gene:ENSG00000088340",18.5258915274323,7.04127769963033,1.93342383610601,3.64186970706419,0.000270665062694819,0.123521133627644,1074,187
"gene:ENSG00000105419",15.3005248597533,6.76550906746401,1.36224688019789,4.96643388640478,6.81952870508631e-07,0.00214913658513737,1074,187
"gene:ENSG00000188747",14.8401049428256,6.71987505087138,1.31802511276608,5.09844234816487,3.42459798282636e-07,0.0012141484073363,1074,187
"gene:ENSG00000268975",18.9343602569193,6.49130812706353,2.37645995735407,2.73150326264739,0.00630461167419279,0.340859572974334,1074,187
"gene:ENSG00000167103",10.8004077141302,6.26194859527737,1.35453560582547,4.62294868318449,3.7832333932903e-06,0.00825414221029945,1074,187
